Date	Date (UTC)	Month	Day	Hour (UTC)	shell_length (cm)
5.5	1/6/13	1	6	12	0.033925998
5.54	1/6/13	1	6	13	0.034058869
5.58	1/6/13	1	6	14	0.034191809
5.62	1/6/13	1	6	15	0.034324819
5.67	1/6/13	1	6	16	0.034457899
5.71	1/6/13	1	6	17	0.034591043
5.75	1/6/13	1	6	18	0.034724247
5.79	1/6/13	1	6	19	0.034857512
5.83	1/6/13	1	6	20	0.034990837
5.87	1/6/13	1	6	21	0.035124221
5.92	1/6/13	1	6	22	0.035257664
5.96	1/6/13	1	6	23	0.035391165
6	1/7/13	1	7	0	0.035524724
6.04	1/7/13	1	7	1	0.03565834
6.08	1/7/13	1	7	2	0.035792013
6.12	1/7/13	1	7	3	0.035925743
6.17	1/7/13	1	7	4	0.036059528
6.21	1/7/13	1	7	5	0.036193368
6.25	1/7/13	1	7	6	0.036327264
6.29	1/7/13	1	7	7	0.036461214
6.33	1/7/13	1	7	8	0.036595217
6.37	1/7/13	1	7	9	0.036729273
6.42	1/7/13	1	7	10	0.036863383
6.46	1/7/13	1	7	11	0.036997544
6.5	1/7/13	1	7	12	0.037131756
6.54	1/7/13	1	7	13	0.03726602
6.58	1/7/13	1	7	14	0.037400334
6.62	1/7/13	1	7	15	0.037534698
6.67	1/7/13	1	7	16	0.037669111
6.71	1/7/13	1	7	17	0.037803573
6.75	1/7/13	1	7	18	0.037938083
6.79	1/7/13	1	7	19	0.038072641
6.83	1/7/13	1	7	20	0.038207246
6.87	1/7/13	1	7	21	0.038341897
6.92	1/7/13	1	7	22	0.038476594
6.96	1/7/13	1	7	23	0.038611336
7	1/8/13	1	8	0	0.038746122
7.04	1/8/13	1	8	1	0.038880953
7.08	1/8/13	1	8	2	0.039015828
7.12	1/8/13	1	8	3	0.039150745
7.17	1/8/13	1	8	4	0.039285705
7.21	1/8/13	1	8	5	0.039420707
7.25	1/8/13	1	8	6	0.039555749
7.29	1/8/13	1	8	7	0.039690833
7.33	1/8/13	1	8	8	0.039825956
7.37	1/8/13	1	8	9	0.039961119
7.42	1/8/13	1	8	10	0.040096321
7.46	1/8/13	1	8	11	0.040231561
7.5	1/8/13	1	8	12	0.040366839
7.54	1/8/13	1	8	13	0.040502154
7.58	1/8/13	1	8	14	0.040637506
7.62	1/8/13	1	8	15	0.040772894
7.67	1/8/13	1	8	16	0.040908317
7.71	1/8/13	1	8	17	0.041043775
7.75	1/8/13	1	8	18	0.041179267
7.79	1/8/13	1	8	19	0.041314794
7.83	1/8/13	1	8	20	0.041450353
7.87	1/8/13	1	8	21	0.041585945
7.92	1/8/13	1	8	22	0.041721569
7.96	1/8/13	1	8	23	0.041857224
8	1/9/13	1	9	0	0.041992911
8.04	1/9/13	1	9	1	0.042128627
8.08	1/9/13	1	9	2	0.042264374
8.12	1/9/13	1	9	3	0.04240015
8.17	1/9/13	1	9	4	0.042535954
8.21	1/9/13	1	9	5	0.042671787
8.25	1/9/13	1	9	6	0.042807647
8.29	1/9/13	1	9	7	0.042943535
8.33	1/9/13	1	9	8	0.043079449
8.37	1/9/13	1	9	9	0.043215389
8.42	1/9/13	1	9	10	0.043351354
8.46	1/9/13	1	9	11	0.043487345
8.5	1/9/13	1	9	12	0.043623359
8.54	1/9/13	1	9	13	0.043759398
8.58	1/9/13	1	9	14	0.043895456
8.62	1/9/13	1	9	15	0.04403153
8.67	1/9/13	1	9	16	0.044167621
8.71	1/9/13	1	9	17	0.044303731
8.75	1/9/13	1	9	18	0.04443986
8.79	1/9/13	1	9	19	0.044576007
8.83	1/9/13	1	9	20	0.044712172
8.87	1/9/13	1	9	21	0.044848354
8.92	1/9/13	1	9	22	0.044984553
8.96	1/9/13	1	9	23	0.045120767
9	1/10/13	1	10	0	0.045256994
9.04	1/10/13	1	10	1	0.045393233
9.08	1/10/13	1	10	2	0.04552948
9.12	1/10/13	1	10	3	0.045665735
9.17	1/10/13	1	10	4	0.045801993
9.21	1/10/13	1	10	5	0.045938252
9.25	1/10/13	1	10	6	0.046074509
9.29	1/10/13	1	10	7	0.046210759
9.33	1/10/13	1	10	8	0.046347
9.37	1/10/13	1	10	9	0.046483228
9.42	1/10/13	1	10	10	0.046619437
9.46	1/10/13	1	10	11	0.046755625
9.5	1/10/13	1	10	12	0.046891785
9.54	1/10/13	1	10	13	0.047027913
9.58	1/10/13	1	10	14	0.047164005
9.62	1/10/13	1	10	15	0.047300055
9.67	1/10/13	1	10	16	0.047436058
9.71	1/10/13	1	10	17	0.047572007
9.75	1/10/13	1	10	18	0.047707899
9.79	1/10/13	1	10	19	0.047843725
9.83	1/10/13	1	10	20	0.047979481
9.87	1/10/13	1	10	21	0.048115161
9.92	1/10/13	1	10	22	0.048250757
9.96	1/10/13	1	10	23	0.048386264
10	1/11/13	1	11	0	0.048521675
10.04	1/11/13	1	11	1	0.048656983
10.08	1/11/13	1	11	2	0.048792181
10.12	1/11/13	1	11	3	0.048927401
10.17	1/11/13	1	11	4	0.049063075
10.21	1/11/13	1	11	5	0.049199114
10.25	1/11/13	1	11	6	0.049335385
10.29	1/11/13	1	11	7	0.049471763
10.33	1/11/13	1	11	8	0.049608129
10.37	1/11/13	1	11	9	0.049744371
10.42	1/11/13	1	11	10	0.049880382
10.46	1/11/13	1	11	11	0.050016059
10.5	1/11/13	1	11	12	0.050151306
10.54	1/11/13	1	11	13	0.050286035
10.58	1/11/13	1	11	14	0.050420158
10.62	1/11/13	1	11	15	0.050553596
10.67	1/11/13	1	11	16	0.050686273
10.71	1/11/13	1	11	17	0.05081812
10.75	1/11/13	1	11	18	0.050949071
10.79	1/11/13	1	11	19	0.051079063
10.83	1/11/13	1	11	20	0.051208041
10.87	1/11/13	1	11	21	0.051335952
10.92	1/11/13	1	11	22	0.051462748
10.96	1/11/13	1	11	23	0.051588384
11	1/12/13	1	12	0	0.05171282
11.04	1/12/13	1	12	1	0.05183602
11.08	1/12/13	1	12	2	0.05195795
11.12	1/12/13	1	12	3	0.052078582
11.17	1/12/13	1	12	4	0.052197889
11.21	1/12/13	1	12	5	0.05231585
11.25	1/12/13	1	12	6	0.052432445
11.29	1/12/13	1	12	7	0.052547659
11.33	1/12/13	1	12	8	0.05266148
11.37	1/12/13	1	12	9	0.052773897
11.42	1/12/13	1	12	10	0.052884904
11.46	1/12/13	1	12	11	0.052994499
11.5	1/12/13	1	12	12	0.053102679
11.54	1/12/13	1	12	13	0.053209448
11.58	1/12/13	1	12	14	0.053314811
11.62	1/12/13	1	12	15	0.053418775
11.67	1/12/13	1	12	16	0.053521363
11.71	1/12/13	1	12	17	0.053623003
11.75	1/12/13	1	12	18	0.053724003
11.79	1/12/13	1	12	19	0.053824489
11.83	1/12/13	1	12	20	0.05392458
11.87	1/12/13	1	12	21	0.054024388
11.92	1/12/13	1	12	22	0.054124016
11.96	1/12/13	1	12	23	0.054223563
12	1/13/13	1	13	0	0.054323118
12.04	1/13/13	1	13	1	0.054422765
12.08	1/13/13	1	13	2	0.05452258
12.12	1/13/13	1	13	3	0.054622634
12.17	1/13/13	1	13	4	0.054722991
12.21	1/13/13	1	13	5	0.054823707
12.25	1/13/13	1	13	6	0.054924833
12.29	1/13/13	1	13	7	0.055026415
12.33	1/13/13	1	13	8	0.055128489
12.37	1/13/13	1	13	9	0.055231091
12.42	1/13/13	1	13	10	0.055334245
12.46	1/13/13	1	13	11	0.055437972
12.5	1/13/13	1	13	12	0.055542289
12.54	1/13/13	1	13	13	0.055647205
12.58	1/13/13	1	13	14	0.055752723
12.62	1/13/13	1	13	15	0.055858843
12.67	1/13/13	1	13	16	0.055965558
12.71	1/13/13	1	13	17	0.056072857
12.75	1/13/13	1	13	18	0.056180722
12.79	1/13/13	1	13	19	0.056289133
12.83	1/13/13	1	13	20	0.056398062
12.87	1/13/13	1	13	21	0.056507477
12.92	1/13/13	1	13	22	0.056617344
12.96	1/13/13	1	13	23	0.056727621
13	1/14/13	1	14	0	0.056838275
13.04	1/14/13	1	14	1	0.056949434
13.08	1/14/13	1	14	2	0.05706114
13.12	1/14/13	1	14	3	0.057173388
13.17	1/14/13	1	14	4	0.057286173
13.21	1/14/13	1	14	5	0.05739949
13.25	1/14/13	1	14	6	0.057513332
13.29	1/14/13	1	14	7	0.057627694
13.33	1/14/13	1	14	8	0.05774257
13.37	1/14/13	1	14	9	0.057857954
13.42	1/14/13	1	14	10	0.05797384
13.46	1/14/13	1	14	11	0.058090223
13.5	1/14/13	1	14	12	0.058207097
13.54	1/14/13	1	14	13	0.058324454
13.58	1/14/13	1	14	14	0.058442289
13.62	1/14/13	1	14	15	0.058560596
13.67	1/14/13	1	14	16	0.058679369
13.71	1/14/13	1	14	17	0.0587986
13.75	1/14/13	1	14	18	0.058918284
13.79	1/14/13	1	14	19	0.059038414
13.83	1/14/13	1	14	20	0.059158984
13.87	1/14/13	1	14	21	0.059279986
13.92	1/14/13	1	14	22	0.059401415
13.96	1/14/13	1	14	23	0.059523264
14	1/15/13	1	15	0	0.059645526
14.04	1/15/13	1	15	1	0.059768194
14.08	1/15/13	1	15	2	0.059891261
14.12	1/15/13	1	15	3	0.060014722
14.17	1/15/13	1	15	4	0.060138568
14.21	1/15/13	1	15	5	0.060262793
14.25	1/15/13	1	15	6	0.06038739
14.29	1/15/13	1	15	7	0.060512352
14.33	1/15/13	1	15	8	0.060637673
14.37	1/15/13	1	15	9	0.060763345
14.42	1/15/13	1	15	10	0.060889361
14.46	1/15/13	1	15	11	0.061015715
14.5	1/15/13	1	15	12	0.061142406
14.54	1/15/13	1	15	13	0.061269432
14.58	1/15/13	1	15	14	0.061396788
14.62	1/15/13	1	15	15	0.061524467
14.67	1/15/13	1	15	16	0.061652466
14.71	1/15/13	1	15	17	0.061780778
14.75	1/15/13	1	15	18	0.061909399
14.79	1/15/13	1	15	19	0.062038324
14.83	1/15/13	1	15	20	0.062167548
14.87	1/15/13	1	15	21	0.062297067
14.92	1/15/13	1	15	22	0.062426876
14.96	1/15/13	1	15	23	0.06255697
15	1/16/13	1	16	0	0.062687344
15.04	1/16/13	1	16	1	0.062817996
15.08	1/16/13	1	16	2	0.062948919
15.12	1/16/13	1	16	3	0.06308011
15.17	1/16/13	1	16	4	0.063211566
15.21	1/16/13	1	16	5	0.063343281
15.25	1/16/13	1	16	6	0.063475251
15.29	1/16/13	1	16	7	0.063607474
15.33	1/16/13	1	16	8	0.063739944
15.37	1/16/13	1	16	9	0.063872659
15.42	1/16/13	1	16	10	0.064005614
15.46	1/16/13	1	16	11	0.064138807
15.5	1/16/13	1	16	12	0.064272232
15.54	1/16/13	1	16	13	0.064405888
15.58	1/16/13	1	16	14	0.06453977
15.62	1/16/13	1	16	15	0.064673875
15.67	1/16/13	1	16	16	0.0648082
15.71	1/16/13	1	16	17	0.064942742
15.75	1/16/13	1	16	18	0.065077498
15.79	1/16/13	1	16	19	0.065212463
15.83	1/16/13	1	16	20	0.065347637
15.87	1/16/13	1	16	21	0.065483015
15.92	1/16/13	1	16	22	0.065618594
15.96	1/16/13	1	16	23	0.065754373
16	1/17/13	1	17	0	0.065890347
16.04	1/17/13	1	17	1	0.066026515
16.08	1/17/13	1	17	2	0.066162873
16.12	1/17/13	1	17	3	0.066299419
16.17	1/17/13	1	17	4	0.066436152
16.21	1/17/13	1	17	5	0.066573067
16.25	1/17/13	1	17	6	0.066710162
16.29	1/17/13	1	17	7	0.066847437
16.33	1/17/13	1	17	8	0.066984887
16.37	1/17/13	1	17	9	0.06712251
16.42	1/17/13	1	17	10	0.067260306
16.46	1/17/13	1	17	11	0.06739827
16.5	1/17/13	1	17	12	0.067536402
16.54	1/17/13	1	17	13	0.067674699
16.58	1/17/13	1	17	14	0.067813159
16.62	1/17/13	1	17	15	0.06795178
16.67	1/17/13	1	17	16	0.068090561
16.71	1/17/13	1	17	17	0.068229499
16.75	1/17/13	1	17	18	0.068368593
16.79	1/17/13	1	17	19	0.06850784
16.83	1/17/13	1	17	20	0.068647239
16.87	1/17/13	1	17	21	0.068786789
16.92	1/17/13	1	17	22	0.068926488
16.96	1/17/13	1	17	23	0.069066333
17	1/18/13	1	18	0	0.069206324
17.04	1/18/13	1	18	1	0.069346459
17.08	1/18/13	1	18	2	0.069486737
17.12	1/18/13	1	18	3	0.069627156
17.17	1/18/13	1	18	4	0.069767714
17.21	1/18/13	1	18	5	0.069908411
17.25	1/18/13	1	18	6	0.070049245
17.29	1/18/13	1	18	7	0.070190214
17.33	1/18/13	1	18	8	0.070331318
17.37	1/18/13	1	18	9	0.070472555
17.42	1/18/13	1	18	10	0.070613913
17.46	1/18/13	1	18	11	0.070755388
17.5	1/18/13	1	18	12	0.070896978
17.54	1/18/13	1	18	13	0.071038683
17.58	1/18/13	1	18	14	0.071180502
17.62	1/18/13	1	18	15	0.071322435
17.67	1/18/13	1	18	16	0.071464481
17.71	1/18/13	1	18	17	0.071606641
17.75	1/18/13	1	18	18	0.071748913
17.79	1/18/13	1	18	19	0.071891296
17.83	1/18/13	1	18	20	0.072033792
17.87	1/18/13	1	18	21	0.072176397
17.92	1/18/13	1	18	22	0.072319113
17.96	1/18/13	1	18	23	0.072461939
18	1/19/13	1	19	0	0.072604874
18.04	1/19/13	1	19	1	0.072747918
18.08	1/19/13	1	19	2	0.072891069
18.12	1/19/13	1	19	3	0.073034328
18.17	1/19/13	1	19	4	0.073177694
18.21	1/19/13	1	19	5	0.073321167
18.25	1/19/13	1	19	6	0.073464745
18.29	1/19/13	1	19	7	0.073608428
18.33	1/19/13	1	19	8	0.073752216
18.37	1/19/13	1	19	9	0.073896107
18.42	1/19/13	1	19	10	0.074040102
18.46	1/19/13	1	19	11	0.0741842
18.5	1/19/13	1	19	12	0.0743284
18.54	1/19/13	1	19	13	0.074472702
18.58	1/19/13	1	19	14	0.074617104
18.62	1/19/13	1	19	15	0.074761607
18.67	1/19/13	1	19	16	0.07490621
18.71	1/19/13	1	19	17	0.075050912
18.75	1/19/13	1	19	18	0.075195712
18.79	1/19/13	1	19	19	0.07534061
18.83	1/19/13	1	19	20	0.075485605
18.87	1/19/13	1	19	21	0.075630697
18.92	1/19/13	1	19	22	0.075775885
18.96	1/19/13	1	19	23	0.075921168
