Date	Date (UTC)	Month	Day	Hour (UTC)	shell_length (cm)
10.42	1/11/13	1	11	10	1.662633322
10.46	1/11/13	1	11	11	1.662736103
10.5	1/11/13	1	11	12	1.662838919
10.54	1/11/13	1	11	13	1.662941771
10.58	1/11/13	1	11	14	1.663044658
10.62	1/11/13	1	11	15	1.663147581
10.67	1/11/13	1	11	16	1.663250538
10.71	1/11/13	1	11	17	1.663353532
10.75	1/11/13	1	11	18	1.66345656
10.79	1/11/13	1	11	19	1.663559624
10.83	1/11/13	1	11	20	1.663662724
10.87	1/11/13	1	11	21	1.663765858
10.92	1/11/13	1	11	22	1.663869029
10.96	1/11/13	1	11	23	1.663972235
11	1/12/13	1	12	0	1.664075476
11.04	1/12/13	1	12	1	1.664178752
11.08	1/12/13	1	12	2	1.664282065
11.12	1/12/13	1	12	3	1.664385412
11.17	1/12/13	1	12	4	1.664488796
11.21	1/12/13	1	12	5	1.664592214
11.25	1/12/13	1	12	6	1.664695669
11.29	1/12/13	1	12	7	1.664799158
11.33	1/12/13	1	12	8	1.664902684
11.37	1/12/13	1	12	9	1.665006245
11.42	1/12/13	1	12	10	1.665109841
11.46	1/12/13	1	12	11	1.665213474
11.5	1/12/13	1	12	12	1.665317141
11.54	1/12/13	1	12	13	1.665420845
11.58	1/12/13	1	12	14	1.665524584
11.62	1/12/13	1	12	15	1.665628359
11.67	1/12/13	1	12	16	1.665732169
11.71	1/12/13	1	12	17	1.665836015
11.75	1/12/13	1	12	18	1.665939897
11.79	1/12/13	1	12	19	1.666043815
11.83	1/12/13	1	12	20	1.666147768
11.87	1/12/13	1	12	21	1.666251757
11.92	1/12/13	1	12	22	1.666355782
11.96	1/12/13	1	12	23	1.666459842
12	1/13/13	1	13	0	1.666563939
12.04	1/13/13	1	13	1	1.666668071
12.08	1/13/13	1	13	2	1.666772239
12.12	1/13/13	1	13	3	1.666876443
12.17	1/13/13	1	13	4	1.666980682
12.21	1/13/13	1	13	5	1.667084958
12.25	1/13/13	1	13	6	1.667189269
12.29	1/13/13	1	13	7	1.667293616
12.33	1/13/13	1	13	8	1.667398
12.37	1/13/13	1	13	9	1.667502419
12.42	1/13/13	1	13	10	1.667606874
12.46	1/13/13	1	13	11	1.667711365
12.5	1/13/13	1	13	12	1.667815892
12.54	1/13/13	1	13	13	1.667920455
12.58	1/13/13	1	13	14	1.668025054
12.62	1/13/13	1	13	15	1.668129689
12.67	1/13/13	1	13	16	1.66823436
12.71	1/13/13	1	13	17	1.668339067
12.75	1/13/13	1	13	18	1.668443811
12.79	1/13/13	1	13	19	1.66854859
12.83	1/13/13	1	13	20	1.668653405
12.87	1/13/13	1	13	21	1.668758257
12.92	1/13/13	1	13	22	1.668863145
12.96	1/13/13	1	13	23	1.668968069
13	1/14/13	1	14	0	1.669073029
13.04	1/14/13	1	14	1	1.669178025
13.08	1/14/13	1	14	2	1.669283058
13.12	1/14/13	1	14	3	1.669388126
13.17	1/14/13	1	14	4	1.669493231
13.21	1/14/13	1	14	5	1.669598373
13.25	1/14/13	1	14	6	1.66970355
13.29	1/14/13	1	14	7	1.669808764
13.33	1/14/13	1	14	8	1.669914014
13.37	1/14/13	1	14	9	1.670019301
13.42	1/14/13	1	14	10	1.670124624
13.46	1/14/13	1	14	11	1.670229983
13.5	1/14/13	1	14	12	1.670335379
13.54	1/14/13	1	14	13	1.670440811
13.58	1/14/13	1	14	14	1.670546279
13.62	1/14/13	1	14	15	1.670651784
13.67	1/14/13	1	14	16	1.670757326
13.71	1/14/13	1	14	17	1.670862904
13.75	1/14/13	1	14	18	1.670968518
13.79	1/14/13	1	14	19	1.671074169
13.83	1/14/13	1	14	20	1.671179857
13.87	1/14/13	1	14	21	1.671285581
13.92	1/14/13	1	14	22	1.671391342
13.96	1/14/13	1	14	23	1.67149714
14	1/15/13	1	15	0	1.671602974
14.04	1/15/13	1	15	1	1.671708844
14.08	1/15/13	1	15	2	1.671814752
14.12	1/15/13	1	15	3	1.671920696
14.17	1/15/13	1	15	4	1.672026677
14.21	1/15/13	1	15	5	1.672132694
14.25	1/15/13	1	15	6	1.672238749
14.29	1/15/13	1	15	7	1.67234484
14.33	1/15/13	1	15	8	1.672450968
14.37	1/15/13	1	15	9	1.672557133
14.42	1/15/13	1	15	10	1.672663335
14.46	1/15/13	1	15	11	1.672769573
14.5	1/15/13	1	15	12	1.672875849
14.54	1/15/13	1	15	13	1.672982161
14.58	1/15/13	1	15	14	1.67308851
14.62	1/15/13	1	15	15	1.673194897
14.67	1/15/13	1	15	16	1.67330132
14.71	1/15/13	1	15	17	1.67340778
14.75	1/15/13	1	15	18	1.673514277
14.79	1/15/13	1	15	19	1.673620812
14.83	1/15/13	1	15	20	1.673727383
14.87	1/15/13	1	15	21	1.673833992
14.92	1/15/13	1	15	22	1.673940638
14.96	1/15/13	1	15	23	1.67404732
15	1/16/13	1	16	0	1.67415404
15.04	1/16/13	1	16	1	1.674260798
15.08	1/16/13	1	16	2	1.674367592
15.12	1/16/13	1	16	3	1.674474424
15.17	1/16/13	1	16	4	1.674581293
15.21	1/16/13	1	16	5	1.674688199
15.25	1/16/13	1	16	6	1.674795142
15.29	1/16/13	1	16	7	1.674902123
15.33	1/16/13	1	16	8	1.675009142
15.37	1/16/13	1	16	9	1.675116197
15.42	1/16/13	1	16	10	1.67522329
15.46	1/16/13	1	16	11	1.675330421
15.5	1/16/13	1	16	12	1.675437589
15.54	1/16/13	1	16	13	1.675544794
15.58	1/16/13	1	16	14	1.675652037
15.62	1/16/13	1	16	15	1.675759318
15.67	1/16/13	1	16	16	1.675866636
15.71	1/16/13	1	16	17	1.675973991
15.75	1/16/13	1	16	18	1.676081384
15.79	1/16/13	1	16	19	1.676188815
15.83	1/16/13	1	16	20	1.676296284
15.87	1/16/13	1	16	21	1.67640379
15.92	1/16/13	1	16	22	1.676511334
15.96	1/16/13	1	16	23	1.676618916
16	1/17/13	1	17	0	1.676726535
16.04	1/17/13	1	17	1	1.676834192
16.08	1/17/13	1	17	2	1.676941888
16.12	1/17/13	1	17	3	1.67704962
16.17	1/17/13	1	17	4	1.677157391
16.21	1/17/13	1	17	5	1.6772652
16.25	1/17/13	1	17	6	1.677373047
16.29	1/17/13	1	17	7	1.677480931
16.33	1/17/13	1	17	8	1.677588854
16.37	1/17/13	1	17	9	1.677696814
16.42	1/17/13	1	17	10	1.677804813
16.46	1/17/13	1	17	11	1.67791285
16.5	1/17/13	1	17	12	1.678020924
16.54	1/17/13	1	17	13	1.678129037
16.58	1/17/13	1	17	14	1.678237188
16.62	1/17/13	1	17	15	1.678345377
16.67	1/17/13	1	17	16	1.678453605
16.71	1/17/13	1	17	17	1.67856187
16.75	1/17/13	1	17	18	1.678670174
16.79	1/17/13	1	17	19	1.678778516
16.83	1/17/13	1	17	20	1.678886897
16.87	1/17/13	1	17	21	1.678995316
16.92	1/17/13	1	17	22	1.679103773
16.96	1/17/13	1	17	23	1.679212268
17	1/18/13	1	18	0	1.679320802
17.04	1/18/13	1	18	1	1.679429375
17.08	1/18/13	1	18	2	1.679537986
17.12	1/18/13	1	18	3	1.679646635
17.17	1/18/13	1	18	4	1.679755323
17.21	1/18/13	1	18	5	1.67986405
17.25	1/18/13	1	18	6	1.679972815
17.29	1/18/13	1	18	7	1.680081619
17.33	1/18/13	1	18	8	1.680190461
17.37	1/18/13	1	18	9	1.680299343
17.42	1/18/13	1	18	10	1.680408263
17.46	1/18/13	1	18	11	1.680517221
17.5	1/18/13	1	18	12	1.680626219
17.54	1/18/13	1	18	13	1.680735255
17.58	1/18/13	1	18	14	1.68084433
17.62	1/18/13	1	18	15	1.680953444
17.67	1/18/13	1	18	16	1.681062597
17.71	1/18/13	1	18	17	1.681171789
17.75	1/18/13	1	18	18	1.681281019
17.79	1/18/13	1	18	19	1.681390283
17.83	1/18/13	1	18	20	1.681499574
17.87	1/18/13	1	18	21	1.681608892
17.92	1/18/13	1	18	22	1.681718238
17.96	1/18/13	1	18	23	1.681827611
18	1/19/13	1	19	0	1.681937011
18.04	1/19/13	1	19	1	1.682046439
18.08	1/19/13	1	19	2	1.682155895
18.12	1/19/13	1	19	3	1.682265379
18.17	1/19/13	1	19	4	1.68237489
18.21	1/19/13	1	19	5	1.68248443
18.25	1/19/13	1	19	6	1.682593998
18.29	1/19/13	1	19	7	1.682703594
18.33	1/19/13	1	19	8	1.682813219
18.37	1/19/13	1	19	9	1.682922871
18.42	1/19/13	1	19	10	1.683032553
18.46	1/19/13	1	19	11	1.683142263
18.5	1/19/13	1	19	12	1.683252002
18.54	1/19/13	1	19	13	1.68336177
18.58	1/19/13	1	19	14	1.683471566
18.62	1/19/13	1	19	15	1.683581392
18.67	1/19/13	1	19	16	1.683691247
18.71	1/19/13	1	19	17	1.683801131
18.75	1/19/13	1	19	18	1.683911045
18.79	1/19/13	1	19	19	1.684020988
18.83	1/19/13	1	19	20	1.68413096
18.87	1/19/13	1	19	21	1.684240962
18.92	1/19/13	1	19	22	1.684350994
18.96	1/19/13	1	19	23	1.684461056
19	1/20/13	1	20	0	1.684571148
19.04	1/20/13	1	20	1	1.684681269
19.08	1/20/13	1	20	2	1.684791421
19.12	1/20/13	1	20	3	1.684901603
19.17	1/20/13	1	20	4	1.685011815
19.21	1/20/13	1	20	5	1.685122058
19.25	1/20/13	1	20	6	1.685232331
19.29	1/20/13	1	20	7	1.685342634
19.33	1/20/13	1	20	8	1.685452969
19.37	1/20/13	1	20	9	1.685563334
19.42	1/20/13	1	20	10	1.685673729
19.46	1/20/13	1	20	11	1.685784156
19.5	1/20/13	1	20	12	1.685894614
19.54	1/20/13	1	20	13	1.686005103
19.58	1/20/13	1	20	14	1.686115623
19.62	1/20/13	1	20	15	1.686226174
19.67	1/20/13	1	20	16	1.686336757
19.71	1/20/13	1	20	17	1.686447371
19.75	1/20/13	1	20	18	1.686558017
19.79	1/20/13	1	20	19	1.686668694
19.83	1/20/13	1	20	20	1.686779403
19.87	1/20/13	1	20	21	1.686890144
19.92	1/20/13	1	20	22	1.687000917
19.96	1/20/13	1	20	23	1.687111721
20	1/21/13	1	21	0	1.687222558
20.04	1/21/13	1	21	1	1.687333427
20.08	1/21/13	1	21	2	1.687444328
20.12	1/21/13	1	21	3	1.687555261
20.17	1/21/13	1	21	4	1.687666227
20.21	1/21/13	1	21	5	1.687777225
20.25	1/21/13	1	21	6	1.687888255
20.29	1/21/13	1	21	7	1.687999318
20.33	1/21/13	1	21	8	1.688110414
20.37	1/21/13	1	21	9	1.688221543
20.42	1/21/13	1	21	10	1.688332705
20.46	1/21/13	1	21	11	1.688443899
20.5	1/21/13	1	21	12	1.688555126
20.54	1/21/13	1	21	13	1.688666387
20.58	1/21/13	1	21	14	1.68877768
20.62	1/21/13	1	21	15	1.688889007
20.67	1/21/13	1	21	16	1.689000367
20.71	1/21/13	1	21	17	1.689111761
20.75	1/21/13	1	21	18	1.689223188
20.79	1/21/13	1	21	19	1.689334648
20.83	1/21/13	1	21	20	1.689446143
20.87	1/21/13	1	21	21	1.68955767
20.92	1/21/13	1	21	22	1.689669232
20.96	1/21/13	1	21	23	1.689780827
21	1/22/13	1	22	0	1.689892456
21.04	1/22/13	1	22	1	1.69000412
21.08	1/22/13	1	22	2	1.690115817
21.12	1/22/13	1	22	3	1.690227548
21.17	1/22/13	1	22	4	1.690339314
21.21	1/22/13	1	22	5	1.690451113
21.25	1/22/13	1	22	6	1.690562947
21.29	1/22/13	1	22	7	1.690674816
21.33	1/22/13	1	22	8	1.690786719
21.37	1/22/13	1	22	9	1.690898656
21.42	1/22/13	1	22	10	1.691010628
21.46	1/22/13	1	22	11	1.691122635
21.5	1/22/13	1	22	12	1.691234676
21.54	1/22/13	1	22	13	1.691346752
21.58	1/22/13	1	22	14	1.691458863
21.62	1/22/13	1	22	15	1.691571009
21.67	1/22/13	1	22	16	1.69168319
21.71	1/22/13	1	22	17	1.691795406
21.75	1/22/13	1	22	18	1.691907657
21.79	1/22/13	1	22	19	1.692019943
21.83	1/22/13	1	22	20	1.692132265
21.87	1/22/13	1	22	21	1.692244622
21.92	1/22/13	1	22	22	1.692357014
21.96	1/22/13	1	22	23	1.692469441
22	1/23/13	1	23	0	1.692581904
22.04	1/23/13	1	23	1	1.692694403
22.08	1/23/13	1	23	2	1.692806937
22.12	1/23/13	1	23	3	1.692919507
22.17	1/23/13	1	23	4	1.693032113
22.21	1/23/13	1	23	5	1.693144754
22.25	1/23/13	1	23	6	1.693257431
22.29	1/23/13	1	23	7	1.693370144
22.33	1/23/13	1	23	8	1.693482893
22.37	1/23/13	1	23	9	1.693595679
22.42	1/23/13	1	23	10	1.6937085
22.46	1/23/13	1	23	11	1.693821357
22.5	1/23/13	1	23	12	1.69393425
22.54	1/23/13	1	23	13	1.69404718
22.58	1/23/13	1	23	14	1.694160146
22.62	1/23/13	1	23	15	1.694273149
22.67	1/23/13	1	23	16	1.694386187
22.71	1/23/13	1	23	17	1.694499262
22.75	1/23/13	1	23	18	1.694612374
22.79	1/23/13	1	23	19	1.694725523
22.83	1/23/13	1	23	20	1.694838707
22.87	1/23/13	1	23	21	1.694951929
22.92	1/23/13	1	23	22	1.695065187
22.96	1/23/13	1	23	23	1.695178482
23	1/24/13	1	24	0	1.695291814
23.04	1/24/13	1	24	1	1.695405183
23.08	1/24/13	1	24	2	1.695518589
23.12	1/24/13	1	24	3	1.695632031
23.17	1/24/13	1	24	4	1.695745511
23.21	1/24/13	1	24	5	1.695859028
23.25	1/24/13	1	24	6	1.695972582
23.29	1/24/13	1	24	7	1.696086173
23.33	1/24/13	1	24	8	1.696199801
23.37	1/24/13	1	24	9	1.696313466
23.42	1/24/13	1	24	10	1.696427169
23.46	1/24/13	1	24	11	1.696540909
23.5	1/24/13	1	24	12	1.696654687
23.54	1/24/13	1	24	13	1.696768502
23.58	1/24/13	1	24	14	1.696882354
23.62	1/24/13	1	24	15	1.696996244
23.67	1/24/13	1	24	16	1.697110172
23.71	1/24/13	1	24	17	1.697224137
23.75	1/24/13	1	24	18	1.69733814
23.79	1/24/13	1	24	19	1.69745218
23.83	1/24/13	1	24	20	1.697566259
23.87	1/24/13	1	24	21	1.697680375
23.92	1/24/13	1	24	22	1.697794529
23.96	1/24/13	1	24	23	1.69790872
24	1/25/13	1	25	0	1.69802295
24.04	1/25/13	1	25	1	1.698137218
24.08	1/25/13	1	25	2	1.698251523
24.12	1/25/13	1	25	3	1.698365867
24.17	1/25/13	1	25	4	1.698480248
24.21	1/25/13	1	25	5	1.698594668
24.25	1/25/13	1	25	6	1.698709126
24.29	1/25/13	1	25	7	1.698823622
24.33	1/25/13	1	25	8	1.698938157
24.37	1/25/13	1	25	9	1.699052729
24.42	1/25/13	1	25	10	1.69916734
24.46	1/25/13	1	25	11	1.699281989
24.5	1/25/13	1	25	12	1.699396677
24.54	1/25/13	1	25	13	1.699511402
24.58	1/25/13	1	25	14	1.699626167
24.62	1/25/13	1	25	15	1.69974097
24.67	1/25/13	1	25	16	1.699855811
24.71	1/25/13	1	25	17	1.699970691
24.75	1/25/13	1	25	18	1.700085609
24.79	1/25/13	1	25	19	1.700200566
24.83	1/25/13	1	25	20	1.700315561
24.87	1/25/13	1	25	21	1.700430596
24.92	1/25/13	1	25	22	1.700545669
24.96	1/25/13	1	25	23	1.70066078
25	1/26/13	1	26	0	1.70077593
25.04	1/26/13	1	26	1	1.70089112
25.08	1/26/13	1	26	2	1.701006347
25.12	1/26/13	1	26	3	1.701121614
25.17	1/26/13	1	26	4	1.70123692
25.21	1/26/13	1	26	5	1.701352264
25.25	1/26/13	1	26	6	1.701467648
25.29	1/26/13	1	26	7	1.70158307
25.33	1/26/13	1	26	8	1.701698531
25.37	1/26/13	1	26	9	1.701814031
25.42	1/26/13	1	26	10	1.701929571
25.46	1/26/13	1	26	11	1.702045149
25.5	1/26/13	1	26	12	1.702160766
25.54	1/26/13	1	26	13	1.702276423
25.58	1/26/13	1	26	14	1.702392118
25.62	1/26/13	1	26	15	1.702507853
25.67	1/26/13	1	26	16	1.702623627
25.71	1/26/13	1	26	17	1.70273944
25.75	1/26/13	1	26	18	1.702855292
25.79	1/26/13	1	26	19	1.702971184
25.83	1/26/13	1	26	20	1.703087115
25.87	1/26/13	1	26	21	1.703203085
25.92	1/26/13	1	26	22	1.703319094
25.96	1/26/13	1	26	23	1.703435143
26	1/27/13	1	27	0	1.703551231
26.04	1/27/13	1	27	1	1.703667358
26.08	1/27/13	1	27	2	1.703783525
26.12	1/27/13	1	27	3	1.703899731
26.17	1/27/13	1	27	4	1.704015976
26.21	1/27/13	1	27	5	1.704132261
26.25	1/27/13	1	27	6	1.704248585
26.29	1/27/13	1	27	7	1.704364949
26.33	1/27/13	1	27	8	1.704481352
26.37	1/27/13	1	27	9	1.704597795
26.42	1/27/13	1	27	10	1.704714277
26.46	1/27/13	1	27	11	1.704830799
26.5	1/27/13	1	27	12	1.704947361
26.54	1/27/13	1	27	13	1.705063961
26.58	1/27/13	1	27	14	1.705180602
26.62	1/27/13	1	27	15	1.705297282
26.67	1/27/13	1	27	16	1.705414001
26.71	1/27/13	1	27	17	1.705530761
26.75	1/27/13	1	27	18	1.705647559
26.79	1/27/13	1	27	19	1.705764398
26.83	1/27/13	1	27	20	1.705881276
26.87	1/27/13	1	27	21	1.705998194
26.92	1/27/13	1	27	22	1.706115151
26.96	1/27/13	1	27	23	1.706232148
27	1/28/13	1	28	0	1.706349185
27.04	1/28/13	1	28	1	1.706466261
27.08	1/28/13	1	28	2	1.706583377
27.12	1/28/13	1	28	3	1.706700533
27.17	1/28/13	1	28	4	1.706817728
27.21	1/28/13	1	28	5	1.706934964
27.25	1/28/13	1	28	6	1.707052239
27.29	1/28/13	1	28	7	1.707169553
27.33	1/28/13	1	28	8	1.707286908
27.37	1/28/13	1	28	9	1.707404302
27.42	1/28/13	1	28	10	1.707521736
27.46	1/28/13	1	28	11	1.70763921
27.5	1/28/13	1	28	12	1.707756723
27.54	1/28/13	1	28	13	1.707874276
27.58	1/28/13	1	28	14	1.707991869
27.62	1/28/13	1	28	15	1.708109502
27.67	1/28/13	1	28	16	1.708227175
27.71	1/28/13	1	28	17	1.708344887
27.75	1/28/13	1	28	18	1.708462639
27.79	1/28/13	1	28	19	1.708580431
27.83	1/28/13	1	28	20	1.708698262
27.87	1/28/13	1	28	21	1.708816134
27.92	1/28/13	1	28	22	1.708934045
27.96	1/28/13	1	28	23	1.709051996
28	1/29/13	1	29	0	1.709169987
28.04	1/29/13	1	29	1	1.709288018
28.08	1/29/13	1	29	2	1.709406088
28.12	1/29/13	1	29	3	1.709524198
28.17	1/29/13	1	29	4	1.709642348
28.21	1/29/13	1	29	5	1.709760538
28.25	1/29/13	1	29	6	1.709878767
28.29	1/29/13	1	29	7	1.709997037
28.33	1/29/13	1	29	8	1.710115346
28.37	1/29/13	1	29	9	1.710233695
28.42	1/29/13	1	29	10	1.710352083
28.46	1/29/13	1	29	11	1.710470512
28.5	1/29/13	1	29	12	1.71058898
28.54	1/29/13	1	29	13	1.710707488
28.58	1/29/13	1	29	14	1.710826035
28.62	1/29/13	1	29	15	1.710944623
28.67	1/29/13	1	29	16	1.71106325
28.71	1/29/13	1	29	17	1.711181916
28.75	1/29/13	1	29	18	1.711300623
28.79	1/29/13	1	29	19	1.711419369
28.83	1/29/13	1	29	20	1.711538155
28.87	1/29/13	1	29	21	1.711656981
28.92	1/29/13	1	29	22	1.711775846
28.96	1/29/13	1	29	23	1.711894751
29	1/30/13	1	30	0	1.712013696
29.04	1/30/13	1	30	1	1.71213268
29.08	1/30/13	1	30	2	1.712251704
29.12	1/30/13	1	30	3	1.712370767
29.17	1/30/13	1	30	4	1.71248987
29.21	1/30/13	1	30	5	1.712609013
29.25	1/30/13	1	30	6	1.712728196
29.29	1/30/13	1	30	7	1.712847418
29.33	1/30/13	1	30	8	1.712966679
29.37	1/30/13	1	30	9	1.71308598
29.42	1/30/13	1	30	10	1.713205321
29.46	1/30/13	1	30	11	1.713324701
29.5	1/30/13	1	30	12	1.713444121
29.54	1/30/13	1	30	13	1.71356358
29.58	1/30/13	1	30	14	1.713683079
29.62	1/30/13	1	30	15	1.713802617
29.67	1/30/13	1	30	16	1.713922194
29.71	1/30/13	1	30	17	1.714041811
29.75	1/30/13	1	30	18	1.714161468
29.79	1/30/13	1	30	19	1.714281164
29.83	1/30/13	1	30	20	1.714400899
29.87	1/30/13	1	30	21	1.714520673
29.92	1/30/13	1	30	22	1.714640487
29.96	1/30/13	1	30	23	1.71476034
30	1/31/13	1	31	0	1.714880233
30.04	1/31/13	1	31	1	1.715000165
30.08	1/31/13	1	31	2	1.715120136
30.12	1/31/13	1	31	3	1.715240146
30.17	1/31/13	1	31	4	1.715360196
30.21	1/31/13	1	31	5	1.715480285
30.25	1/31/13	1	31	6	1.715600413
30.29	1/31/13	1	31	7	1.71572058
30.33	1/31/13	1	31	8	1.715840786
30.37	1/31/13	1	31	9	1.715961032
30.42	1/31/13	1	31	10	1.716081316
30.46	1/31/13	1	31	11	1.71620164
30.5	1/31/13	1	31	12	1.716322002
30.54	1/31/13	1	31	13	1.716442404
30.58	1/31/13	1	31	14	1.716562845
30.62	1/31/13	1	31	15	1.716683324
30.67	1/31/13	1	31	16	1.716803843
30.71	1/31/13	1	31	17	1.7169244
30.75	1/31/13	1	31	18	1.717044997
30.79	1/31/13	1	31	19	1.717165632
30.83	1/31/13	1	31	20	1.717286306
30.87	1/31/13	1	31	21	1.717407019
30.92	1/31/13	1	31	22	1.71752777
30.96	1/31/13	1	31	23	1.717648561
31	2/1/13	2	1	0	1.71776939
31.04	2/1/13	2	1	1	1.717890258
31.08	2/1/13	2	1	2	1.718011164
31.12	2/1/13	2	1	3	1.71813211
31.17	2/1/13	2	1	4	1.718253093
31.21	2/1/13	2	1	5	1.718374116
31.25	2/1/13	2	1	6	1.718495177
31.29	2/1/13	2	1	7	1.718616276
31.33	2/1/13	2	1	8	1.718737414
31.37	2/1/13	2	1	9	1.71885859
31.42	2/1/13	2	1	10	1.718979805
31.46	2/1/13	2	1	11	1.719101058
31.5	2/1/13	2	1	12	1.71922235
31.54	2/1/13	2	1	13	1.719343679
31.58	2/1/13	2	1	14	1.719465048
31.62	2/1/13	2	1	15	1.719586454
31.67	2/1/13	2	1	16	1.719707898
31.71	2/1/13	2	1	17	1.719829381
31.75	2/1/13	2	1	18	1.719950902
31.79	2/1/13	2	1	19	1.720072461
31.83	2/1/13	2	1	20	1.720194058
31.87	2/1/13	2	1	21	1.720315693
31.92	2/1/13	2	1	22	1.720437366
31.96	2/1/13	2	1	23	1.720559078
32	2/2/13	2	2	0	1.720680827
32.04	2/2/13	2	2	1	1.720802613
32.08	2/2/13	2	2	2	1.720924438
32.12	2/2/13	2	2	3	1.721046301
32.17	2/2/13	2	2	4	1.721168201
32.21	2/2/13	2	2	5	1.721290139
32.25	2/2/13	2	2	6	1.721412115
32.29	2/2/13	2	2	7	1.721534128
32.33	2/2/13	2	2	8	1.721656179
32.37	2/2/13	2	2	9	1.721778268
32.42	2/2/13	2	2	10	1.721900394
32.46	2/2/13	2	2	11	1.722022557
32.5	2/2/13	2	2	12	1.722144758
32.54	2/2/13	2	2	13	1.722266997
32.58	2/2/13	2	2	14	1.722389273
32.62	2/2/13	2	2	15	1.722511586
32.67	2/2/13	2	2	16	1.722633936
32.71	2/2/13	2	2	17	1.722756323
32.75	2/2/13	2	2	18	1.722878748
32.79	2/2/13	2	2	19	1.72300121
32.83	2/2/13	2	2	20	1.723123709
32.87	2/2/13	2	2	21	1.723246245
32.92	2/2/13	2	2	22	1.723368818
32.96	2/2/13	2	2	23	1.723491428
33	2/3/13	2	3	0	1.723614075
33.04	2/3/13	2	3	1	1.723736758
33.08	2/3/13	2	3	2	1.723859479
33.12	2/3/13	2	3	3	1.723982236
33.17	2/3/13	2	3	4	1.72410503
33.21	2/3/13	2	3	5	1.724227861
33.25	2/3/13	2	3	6	1.724350728
33.29	2/3/13	2	3	7	1.724473632
33.33	2/3/13	2	3	8	1.724596572
33.37	2/3/13	2	3	9	1.724719549
33.42	2/3/13	2	3	10	1.724842562
33.46	2/3/13	2	3	11	1.724965612
33.5	2/3/13	2	3	12	1.725088698
33.54	2/3/13	2	3	13	1.72521182
33.58	2/3/13	2	3	14	1.725334978
33.62	2/3/13	2	3	15	1.725458172
33.67	2/3/13	2	3	16	1.725581403
33.71	2/3/13	2	3	17	1.72570467
33.75	2/3/13	2	3	18	1.725827972
33.79	2/3/13	2	3	19	1.725951311
33.83	2/3/13	2	3	20	1.726074685
33.87	2/3/13	2	3	21	1.726198096
33.92	2/3/13	2	3	22	1.726321542
33.96	2/3/13	2	3	23	1.726445023
34	2/4/13	2	4	0	1.726568541
34.04	2/4/13	2	4	1	1.726692094
34.08	2/4/13	2	4	2	1.726815683
34.12	2/4/13	2	4	3	1.726939307
34.17	2/4/13	2	4	4	1.727062966
34.21	2/4/13	2	4	5	1.727186661
34.25	2/4/13	2	4	6	1.727310391
34.29	2/4/13	2	4	7	1.727434157
34.33	2/4/13	2	4	8	1.727557958
34.37	2/4/13	2	4	9	1.727681794
34.42	2/4/13	2	4	10	1.727805664
34.46	2/4/13	2	4	11	1.72792957
34.5	2/4/13	2	4	12	1.728053511
34.54	2/4/13	2	4	13	1.728177487
34.58	2/4/13	2	4	14	1.728301498
34.62	2/4/13	2	4	15	1.728425543
34.67	2/4/13	2	4	16	1.728549624
34.71	2/4/13	2	4	17	1.728673739
34.75	2/4/13	2	4	18	1.728797888
34.79	2/4/13	2	4	19	1.728922072
34.83	2/4/13	2	4	20	1.729046291
34.87	2/4/13	2	4	21	1.729170543
34.92	2/4/13	2	4	22	1.729294831
34.96	2/4/13	2	4	23	1.729419152
35	2/5/13	2	5	0	1.729543508
35.04	2/5/13	2	5	1	1.729667898
35.08	2/5/13	2	5	2	1.729792322
35.12	2/5/13	2	5	3	1.72991678
35.17	2/5/13	2	5	4	1.730041272
35.21	2/5/13	2	5	5	1.730165798
35.25	2/5/13	2	5	6	1.730290357
35.29	2/5/13	2	5	7	1.730414951
35.33	2/5/13	2	5	8	1.730539578
35.37	2/5/13	2	5	9	1.730664239
35.42	2/5/13	2	5	10	1.730788933
35.46	2/5/13	2	5	11	1.730913661
35.5	2/5/13	2	5	12	1.731038422
35.54	2/5/13	2	5	13	1.731163217
35.58	2/5/13	2	5	14	1.731288044
35.62	2/5/13	2	5	15	1.731412905
35.67	2/5/13	2	5	16	1.7315378
35.71	2/5/13	2	5	17	1.731662727
35.75	2/5/13	2	5	18	1.731787687
35.79	2/5/13	2	5	19	1.73191268
35.83	2/5/13	2	5	20	1.732037706
35.87	2/5/13	2	5	21	1.732162765
35.92	2/5/13	2	5	22	1.732287857
35.96	2/5/13	2	5	23	1.732412981
36	2/6/13	2	6	0	1.732538138
36.04	2/6/13	2	6	1	1.732663327
36.08	2/6/13	2	6	2	1.732788548
36.12	2/6/13	2	6	3	1.732913802
36.17	2/6/13	2	6	4	1.733039089
36.21	2/6/13	2	6	5	1.733164407
36.25	2/6/13	2	6	6	1.733289758
36.29	2/6/13	2	6	7	1.73341514
36.33	2/6/13	2	6	8	1.733540555
36.37	2/6/13	2	6	9	1.733666001
36.42	2/6/13	2	6	10	1.73379148
36.46	2/6/13	2	6	11	1.73391699
36.5	2/6/13	2	6	12	1.734042531
36.54	2/6/13	2	6	13	1.734168105
36.58	2/6/13	2	6	14	1.734293709
36.62	2/6/13	2	6	15	1.734419346
36.67	2/6/13	2	6	16	1.734545013
36.71	2/6/13	2	6	17	1.734670712
36.75	2/6/13	2	6	18	1.734796442
36.79	2/6/13	2	6	19	1.734922203
36.83	2/6/13	2	6	20	1.735047995
36.87	2/6/13	2	6	21	1.735173819
36.92	2/6/13	2	6	22	1.735299673
